experiment_id,id_status,title,name,phase,created_at,status,decision,parent,successor,aliases,tags,data_market,data_order,data_transaction,base_model,objective,validation,baseline_score,score,delta,public_lb,conclusion,failure_reason,do_not_repeat,script_path,report_path,artifact_path,record_kind,evidence_state,ownership,route_id,failure_category,provenance_state,source_refs
G1,legacy,LGBM+MLP 融合,lgb-mlp-blend,baseline,2026-08-10,completed,GREEN,F1,G2,,blend,,,,,cosine (全局),unknown,单 0.1308/0.1321,0.137041,+0.005,-,Δ=+0.005 → GREEN,,,scripts/11_exp_blend.py,RESULTS.md,,ensemble,validated,historical,R01-table-baseline,none,historical,
G2,legacy,三模型融合 +XGBoost,3model-blend,baseline,2026-08-10,completed,YELLOW,G1,G3,,blend,,,,,cosine (全局),unknown,0.137041,0.137710,+0.0007,-,Δ=+0.0007 → YELLOW,,,scripts/13_exp_3model_blend.py,RESULTS.md,,ensemble,validated,historical,R01-table-baseline,none,historical,
G3,legacy,三模型融合v2 (MLP-ens),3model-blend-v2,baseline,2026-08-10,completed,GREEN,G2,H1|S-01,,blend,,,,,cosine (全局),unknown,0.137710,0.138931,+0.0012,"0.122 (v1, #79)",Δ=+0.0012 → GREEN,,,scripts/15_exp_g3_blend_ens.py|scripts/16_final_submission.py,RESULTS.md,output/submissions/submission_blend_v1.csv,ensemble,validated,historical,R01-table-baseline,none,historical,
H1,legacy,五模型融合 (CatBoost 惊喜),5model-blend,baseline,2026-08-11,completed,RED,G3,S-02,,blend,,,,,cosine (全局),unknown,0.138931,0.139332,+0.0004,0.122 (v2),不再在表格特征+树+MLP 组合上做小增量融合,CV +0.0004 未转化为 LB 提升 → 表格特征+树+MLP 组合已饱和 (0.122 平台期),不再在表格特征+树+MLP 组合上做小增量融合,scripts/17_exp_5model.py|scripts/18_final_submission_v2.py,RESULTS.md,output/submissions/submission_blend_v2.csv,ensemble,negative,historical,R01-table-baseline,model_saturation,historical,
P0-01,canonical,Temporal Matrix 时序矩阵,temporal-matrix,P0_protocol,2026-08-11,completed,GREEN,B1,P0-02|P0-03|P0-04,,validation,,,,,cosine (全局),N/A,-,"MLP 7/7 垫底(0.1187), CatBoost 最稳健(0.1264), blend 每折全胜+0.003",-,-,Δ=- → GREEN,,,scripts/19_temporal_matrix.py,RESULTS.md,,protocol,validated,self_owned,R02-r2-drift,none,partial,
P0-02,canonical,Adversarial Validation 对抗验证,adversarial-validation,P0_protocol,2026-08-11,completed,GREEN,P0-01,P0-05,,validation|drift,,,,,cosine (全局),N/A,-,AUC 0.733/0.777/0.766; m_sp_mean 三组 TOP1; m_book 漂移 45.1%,-,-,Δ=- → GREEN,,,scripts/20_adversarial_validation.py,RESULTS.md,,protocol,validated,self_owned,R02-r2-drift,none,partial,
P0-03,canonical,权重重估 temporal-mean,weight-reopt,P0_protocol,2026-08-11,completed,RED,P0-01,S-03,P0-3,validation|blend,,,,,cosine (全局),unknown,0.129155,0.130015,+0.0009,0.122 (v3),不再做表格模型权重微调,"三次提交 v1/v2/v3 全 0.122 → 表格路线平台期确认, 权重微调无法突破",不再做表格模型权重微调,scripts/21_weight_reopt.py|scripts/22_final_submission_v3.py,RESULTS.md,output/submissions/submission_blend_v3.csv,model,negative,self_owned,R02-r2-drift,model_saturation,partial,
P0-04,canonical,MLP Fairness Check (last-epoch bug),mlp-fairness,P0_protocol,2026-08-11,superseded,GREEN,P0-01,,P0.5-B,protocol|mlp,,,,,cosine (全局),N/A,T1 0.11062,T1 +0.0062 / T2 +0.0045 / T3 +0.0061,+0.0050 平均,-,评估模型必须用 best-state 而非 last-epoch,评估协议高估其劣势; 修正后 MLP 仍弱于 CatBoost (T2 差 0.0054),评估模型必须用 best-state 而非 last-epoch,scripts/24_mlp_fairness.py,RESULTS.md,,protocol,superseded,self_owned,R02-r2-drift,none,partial,
P0-05,canonical,Drift Intervention (R2 归一化),drift-intervention,P0_protocol,2026-08-11,completed,GREEN,P0-02,P0-06,P0.5-C,drift|features,,,,,cosine (全局),unknown,R0,R2 4/4 folds 全正,+0.0023 mean,-,Δ=+0.0023 mean → GREEN,,,scripts/23_drift_intervention.py,RESULTS.md,,model,validated,self_owned,R02-r2-drift,none,partial,
P0-06,canonical,R2 × 全融合,r2-blend,P0_protocol,2026-08-11,completed,GREEN,P0-05,P1-01|S-04,P0.5-D,blend,,,,,cosine (全局),unknown,R0 blend,T4 +0.0017 / PSEUDO +0.0015,+0.0016 mean,-,Δ=+0.0016 mean → GREEN,,,scripts/25_r2_blend.py,RESULTS.md,,ensemble,validated,self_owned,R02-r2-drift,none,partial,
S-04,canonical,v4 提交 (R2+temporal),submission-v4,S_submissions,2026-08-11,completed,GREEN,P0-06,,SUB-v4,submission,,,,,cosine (全局),N/A,v3 0.122,-,-,0.123,Δ=- → GREEN,,,scripts/26_final_submission_v4.py,RESULTS.md,output/submissions/submission_blend_v4.csv,submission,validated,self_owned,R20-submissions,none,partial,
S-05,canonical,v5 提交 (R2+22微观),submission-v5,S_submissions,2026-08-11,completed,GREEN,P1-03,,SUB-v5,submission,,,,,cosine (全局),N/A,v4 0.123,-,-,0.125,Δ=- → GREEN,,,scripts/35_final_v5.py,RESULTS.md,output/submissions/submission_blend_v5.csv,submission,validated,self_owned,R20-submissions,none,partial,
S-07,canonical,v7 提交 (RealMLP 复刻融合),submission-v7,S_submissions,2026-08-12,completed,GREEN,P1-03,P2-01|S-08,SUB-v7,submission,,,,,cosine (全局),N/A,v5 0.125,blend 0.139683 (PSEUDO),+0.010 (LB),0.135,Δ=+0.010 (LB) → GREEN,,,scripts/40_build_0726.py|scripts/41_realmlp_local.py|scripts/42_realmlp_fusion.py,RESULTS.md,output/submissions/submission_blend_v7_rl15/20/25.csv,submission,validated,self_owned,R20-submissions,none,partial,
S-08,canonical,v8/v8b 提交 (lb142 融合),submission-v8b,S_submissions,2026-08-12,completed,GREEN,S-07,,SUB-v8,submission,,,,,cosine (全局),N/A,v7 0.135,-,+0.007,0.142 (#30),Δ=+0.007 → GREEN,,,scripts/43_lb142_fusion.py|scripts/44_threeway_fusion.py,RESULTS.md,output/submissions/submission_v8_ref*.csv|output/submissions/submission_v9_*.csv,submission,validated,external_assisted,R20-submissions,none,partial,
S-01,canonical,v1 提交 (三模型融合),submission-v1,S_submissions,2026-08-15,completed,GREEN,G3,,,submission,,,,,cosine (全局),N/A,N/A,N/A,N/A,N/A,Δ=? → GREEN,,,scripts/16_final_submission.py,RESULTS.md,output/submissions/submission_blend_v1.csv,submission,validated,self_owned,R20-submissions,none,partial,
S-02,canonical,v2 提交 (五模型),submission-v2,S_submissions,2026-08-15,completed,YELLOW,H1,,,submission,,,,,cosine (全局),N/A,N/A,N/A,N/A,N/A,Δ=? → YELLOW,,,scripts/18_final_submission_v2.py,RESULTS.md,output/submissions/submission_blend_v2.csv,submission,validated,self_owned,R20-submissions,none,partial,
S-03,canonical,v3 提交 (temporal 权重),submission-v3,S_submissions,2026-08-15,completed,YELLOW,P0-03,,,submission,,,,,cosine (全局),N/A,N/A,N/A,N/A,N/A,Δ=? → YELLOW,,,scripts/22_final_submission_v3.py,RESULTS.md,output/submissions/submission_blend_v3.csv,submission,validated,self_owned,R20-submissions,none,partial,
S-06,canonical,"v6 提交 (TCN 融合, 灾难)",submission-v6,S_submissions,2026-08-15,completed,RED,P1-05,,,submission|negative,,,,,cosine (全局),N/A,N/A,N/A,N/A,N/A,序列模型不通过 test 侧 corr 结构验证不得进生产融合,"N005: TCN test 分布外严重退化 (PSEUDO +0.004 → LB 0.082), test corr(tab,tcn)=0.03 致命预警",序列模型不通过 test 侧 corr 结构验证不得进生产融合,scripts/37_final_v6.py,RESULTS.md#N005,output/submissions/submission_blend_v6.csv,submission,negative,self_owned,R20-submissions,model_saturation,partial,
P1-01,canonical,微观结构特征构建 (22 primitive),micro-features-build,P1_representation,2026-08-11,completed,NA,P0-06,P1-02,P1-1a|P1-01a,features|order-flow,,,,,cosine (全局),N/A,-,-,-,-,Δ=- → NA,,,scripts/27_build_micro_features.py,RESULTS.md,output/micro_features_*.parquet|<local-data-root>,build,validated,self_owned,R03-micro-primitives,none,partial,
P1-02,canonical,双轴筛选 (alpha+drift),micro-features-screen,P1_representation,2026-08-11,completed,YELLOW,P1-01,P1-03,P1-1b|P1-01b,features|validation,,,,,cosine (全局),unknown,152,alpha mean +0.0022,+0.0022,-,drift 轴 ΔAUC +0.0168 ⚠️ 需第二轮归一化; 净效果为正,drift 轴 ΔAUC +0.0168 ⚠️ 需第二轮归一化; 净效果为正,,scripts/28_feature_screening.py,RESULTS.md,,feature,validated,self_owned,R03-micro-primitives,none,partial,
P1-03,canonical,全融合验证 (R2+micro),micro-features-blend,P1_representation,2026-08-11,completed,GREEN,P1-02,P1-04|P1-05|S-05|S-07,P1-1c|P1-01c,blend,,,,,cosine (全局),unknown,R2 blend,T4 +0.0049 / PSEUDO +0.0036,+0.0036 (PSEUDO),-,Δ=+0.0036 (PSEUDO) → GREEN,,,scripts/29_micro_blend.py,RESULTS.md,,ensemble,validated,self_owned,R03-micro-primitives,none,partial,
P1-04,canonical,特征相对化第二轮,micro-features-rel2,P1_representation,2026-08-11,completed,RED,P1-03,,P1-1e|P1-01e,features|negative,,,,,cosine (全局),unknown,P1-01c,T4 +0.0003 / PSEUDO -0.0012,-0.0012 (PSEUDO),-,不再对微观特征做第二轮相对化,相对化在 PSEUDO 反而更差; 第一轮微观特征已是最优,不再对微观特征做第二轮相对化,scripts/38_micro_rel2.py,RESULTS.md#N006,,feature,negative,self_owned,R03-micro-primitives,model_saturation,partial,
P1-05,canonical,TCN 双塔序列模型,tcn-dual-tower,P1_representation,2026-08-11,completed,RED,P1-03,S-06,,sequence|negative,,,,,cosine (全局),unknown,表格 blend,PSEUDO 0.0738 单模; 3-fold 融合全正,+0.0035/+0.0023/+0.0044,"0.082 (v6, 灾难)",不再用序列模型做生产融合 (除非 test 侧 corr 结构验证),"N005: test 分布外严重退化 — PSEUDO 验证对 TCN 不可靠 (test corr(tab,tcn)=0.03 是致命预警); 序列模型完全不可信",不再用序列模型做生产融合 (除非 test 侧 corr 结构验证),scripts/30_p12_local_run.py|scripts/32_blend_tcn.py|scripts/33_p12_enhance.py|scripts/34_fusion_3fold.py|scripts/36_tcn_full.py|scripts/37_final_v6.py,RESULTS.md#N005,output/p12*|output/submissions/submission_blend_v6.csv,feature,negative,self_owned,R03-micro-primitives,model_saturation,partial,
P2-01,canonical,RealMLP PSEUDO 定标 + 尺度门禁,realmlp-pseudo-calib,P2_calibration,2026-08-12,completed,GREEN,S-07,C-01|P4-10,P2,calibration,,,,,cosine (全局),unknown,v5 table PSEUDO 0.134871,RealMLP 0.138560; v7 融合 0.139683,+0.0048,v7 LB 0.135,Δ=+0.0048 → GREEN,,,scripts/kaggle_realmlp_pseudo/,RESULTS.md#P2,output/rlps_v12/,model,validated,self_owned,R04-realmlp-clean,none,partial,
C-01,canonical,C1 Clean RealMLP-v2a,clean-realmlp,C_clean,2026-08-13,completed,GREEN,P2-01,C-02|C-03,,protocol|realmlp,,,,,cosine (全局),unknown,-,~0.143 (R61_70 复现 canonical 水准),-,-,Δ=- → GREEN,,,scripts/build_kaggle_c1.py,docs/c1-clean-realmlp*.md,output/c1_*|output/kaggle_c1_*,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-02,canonical,C2 RealMLP Ablation (30-epoch),realmlp-ablation,C_clean,2026-08-13,completed,GREEN,C-01,C-04,,protocol|realmlp,,,,,cosine (全局),unknown,C1,30ep 全 outer 最优,+,-,Δ=+ → GREEN,,,scripts/kaggle_c2_*,docs/c2-realmlp-ablation*.md,output/c2_*|output/kaggle_c2_*,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-03,canonical,C3 Clean Table v2,clean-table,C_clean,2026-08-13,completed,GREEN,C-01,,,protocol|tabular,,,,,cosine (全局),unknown,legacy v5 0.134871,PSEUDO 0.135051,+0.000180,-,Δ=+0.000180 → GREEN,,,scripts/build_kaggle_c3.py,docs/c3-clean-table*.md,output/c3_*|output/kaggle_c3_*,ablation,validated,self_owned,R04-realmlp-clean,none,partial,
C-04,canonical,C4 Clean Baseline v2 冻结,clean-baseline-freeze,C_clean,2026-08-13,completed,GREEN,C-02,E-01|M-01|P3-01|P3-02|P3-03|P3-04|P3-05|P4-01,,protocol|baseline,,,,,cosine (全局),N/A,RealMLP 单模,0.142649/0.141762/0.143515/0.156924,+0.005026 mean,-,生产权重/尺度冻结后不得回改 (method/weight/scales/schema 全部冻结),,生产权重/尺度冻结后不得回改 (method/weight/scales/schema 全部冻结),scripts/46_production_table.py|scripts/47_cbv2_fusion.py|scripts/48_realmlp_prod_local.py|scripts/48b_realmlp_cosine_prod.py,docs/c4-clean-baseline-results.md,output/c4_*|output/kaggle_c4_*|output/smoke_c4,protocol,validated,self_owned,R04-realmlp-clean,none,partial,
P3-01,canonical,SAE 自编码器表示,sae,P3_nextgen,2026-08-14,completed,RED,C-04,,,unsupervised|negative,,,,,cosine (全局),unknown,canonical,PSEUDO -0.00076,-0.00076,-,不再做无监督 latent 直接进残差学习,"latent 与 152 手工特征重叠, 无新信息",不再做无监督 latent 直接进残差学习,scripts/p3_01_sae.py|scripts/p3_common.py,docs/p3-results.md,output/p3_01_*,model,negative,self_owned,R08-unsupervised-latent,redundancy,partial,
P3-02,canonical,状态条件化 (E01 延伸),state-conditioned,P3_nextgen,2026-08-14,completed,RED,C-04,,,conditional|negative,,,,,cosine (全局),unknown,canonical,PSEUDO +0.00095,+0.00095,-,不再用简单拼接做条件化 (FiLM 式融合留给完整版),"四折全正但拼接稀释 E01 纯状态信号, 未过 gate",不再用简单拼接做条件化 (FiLM 式融合留给完整版),scripts/p3_02_conditioned.py,docs/p3-results.md,output/p3_02_*,model,negative,self_owned,R08-unsupervised-latent,model_saturation,partial,
P3-03,canonical,TinyLOBERT 掩码预训练,tiny-lobert-mask,P3_nextgen,2026-08-14,completed,RED,C-04,,,unsupervised|negative,,,,,cosine (全局),unknown,-,corr 0.86~0.98 与现有特征,-,-,不再做掩码预训练 latent,"掩码 latent 无独立信息 (corr 过高), 预注册门禁终止",不再做掩码预训练 latent,scripts/p3_03_masked.py,docs/p3-results.md,output/p3_03_*,model,negative,self_owned,R08-unsupervised-latent,model_saturation,partial,
P3-04,canonical,2.5D 网格表示,grid-2d5,P3_nextgen,2026-08-14,completed,RED,C-04,,,representation|negative,,,,,cosine (全局),unknown,canonical,PSEUDO +0.0000,+0.0000,-,不再做网格投影,投影无信号 (信息已在聚合特征中),不再做网格投影,scripts/p3_04_grid.py|scripts/p3_grid_common.py,docs/p3-results.md,output/p3_04_*,model,negative,self_owned,R08-unsupervised-latent,model_saturation,partial,
P3-05,canonical,NHP 强度诊断,nhp-intensity,P3_nextgen,2026-08-14,completed,RED,C-04,,,point-process|negative,,,,,cosine (全局),unknown,-,|r|≤0.01,-,-,不投入完整 NHP 模型,"诊断通过但信号极弱, 不投入完整 NHP",不投入完整 NHP 模型,scripts/p3_05_nhp_diag.py,docs/p3-results.md,output/p3_05_*,model,negative,self_owned,R08-unsupervised-latent,model_saturation,partial,
P4-01,canonical,600s market 长上下文取证,market-600s-forensics,P4_hidden,2026-08-14,completed,GREEN,C-04,P4-02|P4-05|P4-06|P4-07|P4-08|P4-09|P4-15|P4-16|P4-17|P5-01,P4-01a,market|hidden-info,,,,,cosine (全局),N/A,152 features,"PSEUDO 正, AUC 增量 +0.019",+0.019 AUC,-,Δ=+0.019 AUC → GREEN,,,scripts/p4_01a_*.py,docs/p4-01a-market-forensics-report.md,output/p4_01a*,diagnostic,validated,self_owned,R09-hidden-information,none,partial,
P4-02,canonical,LB142 v10 factors 逆向审计,factor-audit,P4_hidden,2026-08-15,completed,YELLOW,P4-01,P4-03,P4-02A,hidden-info,,,,,cosine (全局),N/A,N/A,N/A,N/A,N/A,Δ=? → YELLOW,,,scripts/p4_02a_factor_audit.py,docs/p4-hidden-information-report.md,output/p4_02_factors,diagnostic,validated,external_assisted,R09-hidden-information,none,partial,
P4-03,canonical,LB142 market-form primitives 重建,market-forms,P4_hidden,2026-08-15,completed,YELLOW,P4-02,P4-04,P4-02B,hidden-info|market,,,,,cosine (全局),unknown,unknown,unknown,unknown,N/A,Δ=? → YELLOW,,,scripts/p4_02b_market_forms.py,docs/p4-hidden-information-report.md,output/p4_02b_market_forms,model,validated,external_assisted,R09-hidden-information,none,partial,
P4-04,canonical,OFI protocol 冻结验证,ofi-protocol,P4_hidden,2026-08-15,completed,YELLOW,P4-03,,P4-02C,order-flow|hidden-info,,,,,cosine (全局),N/A,N/A,N/A,N/A,N/A,Δ=? → YELLOW,,,scripts/p4_02c_ofi_protocol.py,docs/p4-hidden-information-report.md,output/p4_02c_features|output/p4_02c_ofi_protocol,protocol,validated,external_assisted,R09-hidden-information,none,partial,
P4-05,canonical,Target 逆向取证,target-forensics,P4_hidden,2026-08-14,completed,YELLOW,P4-01,,,hidden-info|target,,,,,cosine (全局),N/A,-,"y 与窗口内趋势相关, std∝波动率",-,-,公式未唯一确定,公式未唯一确定,,scripts/p4_03_target_forensics.py,docs/p4-hidden-information-report.md,output/p4_03_*,diagnostic,validated,external_assisted,R09-hidden-information,none,partial,
P4-06,canonical,0.5 价簇取证 (ask 全空假象),price-cluster,P4_hidden,2026-08-14,completed,GREEN,P4-01,,,hidden-info|market,,,,,cosine (全局),N/A,-,ask 全空 → mid=0.5 计算假象,-,-,Δ=- → GREEN,,,scripts/p4_04_disagreement.py,docs/p4-hidden-information-report.md,output/p4_04_*|output/p4_lb142_forensics,diagnostic,validated,external_assisted,R09-hidden-information,none,partial,
P4-07,canonical,月度漂移可预测性,monthly-drift,P4_hidden,2026-08-14,completed,RED,P4-01,,,drift|negative,,,,,cosine (全局),unknown,-,决定性负结果,-,-,不再做月度漂移预测模型,月度漂移不可预测 (无结构),不再做月度漂移预测模型,scripts/p4_05_monthly_drift.py,docs/p4-hidden-information-report.md,output/p4_05_*,model,negative,external_assisted,R09-hidden-information,nonstationarity,partial,
P4-08,canonical,Long residual (短/长/双窗),long-residual,P4_hidden,2026-08-14,completed,RED,P4-01,P6R-00,P4-06A,residual|negative,,,,,cosine (全局),unknown,canonical,+0.0000,+0.0000,-,不做残差均值直接预测,聚合残差无预测增量 (负面链 #1),不做残差均值直接预测,scripts/p4_06a_long_residual.py,docs/p4-hidden-information-report.md,output/p4_06a*,model,negative,external_assisted,R09-hidden-information,model_saturation,partial,
P4-09,canonical,Halfgroup 分组检验,halfgroup,P4_hidden,2026-08-14,completed,YELLOW,P4-01,,,validation|market,,,,,cosine (全局),unknown,-,分层证据 (高波动方向质量差),-,-,Δ=- → YELLOW,,,scripts/p4_07_halfgroup.py,docs/p4-hidden-information-report.md,output/p4_07_*,model,validated,external_assisted,R09-hidden-information,none,partial,
P4-10,canonical,Loss ablation (MSE vs cosine),loss-ablation,P4_hidden,2026-08-14,superseded,RED,P2-01,P4-11|P4-14,P4-08A,cosine|objective,,,,,cosine (全局),unknown,MSE,本地提升来自验证偏差,-,-,"消融必须严格 nested, 不得重用验证期调参","P4-08A 验证偏差: 本地提升来自验证集重用, 非真实增益 (N 系列)","消融必须严格 nested, 不得重用验证期调参",scripts/p4_08a_loss_ablation.py,docs/p4-hidden-information-report.md#12,output/p4_08a_loss_ablation,ablation,superseded,external_assisted,R09-hidden-information,model_saturation,partial,
P4-11,canonical,cosine 生产化 (lambda_cos 审计),cosine-prod,P4_hidden,2026-08-15,completed,YELLOW,P4-10,P4-12|P4-13,P4-08B,cosine|production,,,,,cosine (全局),unknown,unknown,unknown,unknown,N/A,Δ=? → YELLOW,,,scripts/p4_08a_unc.py|scripts/48b_realmlp_cosine_prod.py,docs/p4-hidden-information-report.md#13,output/p4_08a_unc_ablation,model,validated,external_assisted,R09-hidden-information,none,partial,
P4-12,canonical,cosine blend → submission 候选,cosine-blend,P4_hidden,2026-08-15,completed,YELLOW,P4-11,,P4-08C,cosine|submission,,,,,cosine (全局),unknown,unknown,unknown,unknown,N/A,Δ=? → YELLOW,,,scripts/p4_08c_blend.py,docs/p4-hidden-information-report.md#13,output/submissions/submission_v9_cos_*.csv,ensemble,validated,external_assisted,R09-hidden-information,none,partial,
P4-13,canonical,simple-MLP cosine 全量生产,cosine-simple-prod,P4_hidden,2026-08-15,completed,YELLOW,P4-11,,P4-08D,cosine|production,,,,,cosine (全局),unknown,unknown,unknown,unknown,N/A,Δ=? → YELLOW,,,scripts/p4_08d_simple_cosine_prod.py,docs/p4-hidden-information-report.md#13,output/p4_08a_unc_ablation,model,validated,external_assisted,R09-hidden-information,none,partial,
P4-14,canonical,cosine 案件收口 (v7_like 复刻),cosine-v7like,P4_hidden,2026-08-15,completed,YELLOW,P4-10,,P4-08E,cosine|objective,,,,,cosine (全局),unknown,unknown,unknown,unknown,N/A,Δ=? → YELLOW,,,scripts/p4_08e_v7like_check.py,docs/p4-hidden-information-report.md#14,,model,validated,external_assisted,R09-hidden-information,none,partial,
P4-15,canonical,资产/时间身份取证 (H1/H2),identity-forensics,P4_hidden,2026-08-14,completed,RED,P4-01,,,hidden-info|negative,,,,,cosine (全局),N/A,-,无资产身份痕迹,-,-,不再追资产身份,H1+H2 无证据 (与 P4-04b 0.5 价簇区分),不再追资产身份,scripts/p4_h1h2_forensics.py,docs/p4-hidden-information-report.md,output/p4_forensics,diagnostic,negative,self_owned,R09-hidden-information,model_saturation,partial,
P4-16,canonical,LB142 分歧取证,lb142-divergence,P4_hidden,2026-08-14,completed,YELLOW,P4-01,,,hidden-info|lb142,,,,,cosine (全局),N/A,-,分歧集中于高波动/低流动样本,-,-,Δ=- → YELLOW,,,scripts/p4_lb142_forensics.py,docs/p4-hidden-information-report.md,output/p4_lb142_forensics,diagnostic,validated,external_assisted,R09-hidden-information,none,partial,
P4-17,canonical,Market history 特征,market-history,P4_hidden,2026-08-14,completed,YELLOW,P4-01,,,market|features,,,,,cosine (全局),unknown,canonical,弱正,~+0.0005,-,Δ=~+0.0005 → YELLOW,,,scripts/p4_market_history.py,docs/p4-hidden-information-report.md,output/p4_market_history_*,feature,validated,external_assisted,R09-hidden-information,none,partial,
M-01,canonical,Event Flow 残差表示,event-flow,M_representation,2026-08-13,completed,RED,C-04,M-02|M-04|M-05|M-06|M-07,M01-A,residual|negative,,,,,cosine (全局),unknown,canonical,~0,~0,-,事件流特征无残差增量,事件流特征无残差增量,,scripts/m01a_*|src/mscapital/models/m01a.py,docs/m01-a-results.md,output/m01a_*,feature,insufficient,self_owned,R06-m-residual,model_saturation,partial,
M-02,canonical,LOB 几何特征,lob-geometry,M_representation,2026-08-13,completed,RED,M-01,M-03,,geometry|negative,,,,,cosine (全局),unknown,canonical,~0,~0,-,几何特征无残差增量,几何特征无残差增量,,scripts/m02_*|src/mscapital/features/lob_geometry.py,docs/m02-geometry-results.md,output/m02_*|output/m02t_*,feature,insufficient,self_owned,R06-m-residual,model_saturation,partial,
M-03,canonical,LOB 几何 temporal 变体,lob-geometry-temporal,M_representation,2026-08-15,completed,RED,M-02,,M02-T,geometry|negative,,,,,cosine (全局),unknown,unknown,unknown,unknown,N/A,几何特征线整体关闭,几何 temporal 变体无残差增量 (与 M-02 同判),几何特征线整体关闭,src/mscapital/__main__.py,docs/m02-t-results.md,output/m02t_*,feature,insufficient,self_owned,R06-m-residual,model_saturation,partial,
M-04,canonical,Path Signature (depth-2),path-signature,M_representation,2026-08-13,completed,RED,M-01,,,signature|negative,,,,,cosine (全局),unknown,canonical,~0,~0,-,签名特征无残差增量,签名特征无残差增量,,scripts/m03_*|src/mscapital/features/path_signature.py,docs/m03-path-signature-results.md,output/m03_*,feature,insufficient,self_owned,R06-m-residual,model_saturation,partial,
